System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
1 500.00 1400.00 100.000000 0.9804994326135640 0.560176 -1182389.593658 320.069465 69.107659 159.108627 -60161.166726 22999.840288 -5.168 -5.168 2.532774 0.064157 0.757 n/a n/a
2 500.00 1397.00 100.000000 0.9620915467462655 0.391799 -1180145.370098 334.950662 96.965156 161.550835 -116525.801824 41225.095386 -4.826 -4.826 2.532430 0.064280 0.765 n/a n/a
2 500.00 1397.00 100.000000 0.9712108244912750 0.461225 -1181484.346881 327.444978 83.128204 160.321506 -88548.863807 32199.833981 -5.069 -5.069 2.533101 0.064280 0.765 n/a n/a
2 500.00 1397.00 100.000000 0.9805066931312690 0.560677 -1182867.095747 319.783818 69.028461 159.105681 -60030.244543 23001.564291 -5.196 -5.196 2.533435 0.064280 0.765 n/a n/a
3 500.00 1394.00 100.000000 0.9712180123050671 0.461700 -1181965.484059 327.156638 83.021522 160.317947 -88366.454027 32205.772651 -5.096 -5.096 2.533763 0.064403 0.774 n/a n/a
3 500.00 1394.00 100.000000 0.9620985870861832 0.392240 -1180630.188871 334.660116 96.831598 161.546669 -116293.041851 41235.177514 -4.853 -4.853 2.533093 0.064403 0.774 n/a n/a
3 500.00 1394.00 100.000000 0.9805139911326021 0.561179 -1183344.590065 319.497662 68.949225 159.102739 -59899.284153 23003.316726 -5.223 -5.223 2.534097 0.064403 0.773 n/a n/a
4 500.00 1391.00 100.000000 0.9712252372919318 0.462177 -1182446.611618 326.867785 82.914790 160.314395 -88184.004238 32211.774352 -5.124 -5.124 2.534426 0.064527 0.782 n/a n/a
4 500.00 1391.00 100.000000 0.9621056638283253 0.392682 -1181114.996179 334.369054 96.697979 161.542514 -116060.240507 41245.356500 -4.880 -4.880 2.533756 0.064527 0.782 n/a n/a
4 500.00 1391.00 100.000000 0.9805213268812001 0.561682 -1183822.076636 319.210995 68.869952 159.099802 -59768.285340 23005.097945 -5.251 -5.251 2.534759 0.064527 0.782 n/a n/a
5 500.00 1388.00 100.000000 0.9712324997136003 0.462656 -1182927.729589 326.578417 82.808008 160.310851 -88001.514203 32217.839793 -5.151 -5.151 2.535088 0.064651 0.790 n/a n/a
5 500.00 1388.00 100.000000 0.9621127772287283 0.393125 -1181599.792061 334.077474 96.564298 161.538370 -115827.397541 41255.633402 -4.908 -4.908 2.534420 0.064651 0.791 n/a n/a
5 500.00 1388.00 100.000000 0.9805287006432164 0.562187 -1184299.555480 318.923816 68.790641 159.096871 -59637.247885 23006.908299 -5.278 -5.278 2.535421 0.064651 0.790 n/a n/a
6 500.00 1385.00 100.000000 0.9712397998339957 0.463136 -1183408.838004 326.288532 82.701175 160.307316 -87818.983686 32223.969692 -5.179 -5.179 2.535751 0.064776 0.799 n/a n/a
6 500.00 1385.00 100.000000 0.9621199275453531 0.393570 -1182084.576560 333.785373 96.430554 161.534238 -115594.512701 41266.009294 -4.936 -4.936 2.535084 0.064776 0.799 n/a n/a
